prompt,completion
"""In a 2014 case involving a man convicted of abusing two underage girls, Judge Roy Moore disagreed and wrote the dissenting opinion.""An ad from the Jones campaign said that Moore disagreed and dissented in a case involving the abuse of two underage girls. There is no question that Moore dissented, but the ad provides no context for what Moore disagreed with. The glaring lack of detail leaves reasonable viewers with the impression that Moore disagreed with the conviction.
That’s not what he said. He disagreed with the court’s decision not to consider a legal question of admissible evidence. Several independent law professors told us that Moore raised a valid point that was legally separate from the underlying conviction in the case.
The ad leaves out critical context that gives a highly misleading impression. We rate this claim Mostly False.
sub-questions:","1. Did Roy Moore dissent on a man's conviction of underage abuse?
2. Did Roy dissent on another aspect of the court's decisions?
3. Did Judge Moore write a dissenting opinion?
4. Did Moore disagree with a man being convicting of abusing two underage girls?
5. Did Doug Jones correctly attribute the right reason as to why Moor wrote a dissenting opinion?"
"""You see the Nazi platform from the early 1930s ... look at it compared to the (Democratic Party) platform of today, you're saying, 'Man, those things are awfully similar.'""Trump Jr. said, ""You see the Nazi platform from the early 1930s ... look at it compared to the (Democratic Party) platform of today, you're saying, 'Man, those things are awfully similar,' to a point where it's actually scary.""
Only a small number of elements of the two platforms are clearly similar, and those are so uncontroversial that they appear in the Republican platform as well. The vast majority of planks in the Nazi platform not only don’t appear in the Democratic platform, but are wholly antithetical to it. We rate this Pants on Fire.
sub-questions:","1. Are there even any substantial/significant similarities between the 1930 Nazi platform and the Democratic Party platform of today?
2. Are people actually finding and thinking there are similarities between the 1930 Nazi platform and the Democratic Party platform of today?
3. Is there any reason to believe there are similarities between the 1930 Nazi Platform and the current Democratic party?
4. Are the Nazi platform and the modern Democratic Party platform largely similar?
5. Do any elements of the Nazi platform appear in any other political parties?"
"""In recent years ... the Obama administration was committed to the notion, against all evidence, that we could reset relations with Putin.""Nunes said, ""In recent years ... the Obama administration was committed to the notion, against all evidence, that we could reset relations with Putin.""
Nunes’ summary of U.S. policy toward Russia is at best incomplete. The Obama administration did pursue a reset policy, and kept it up arguably as late as 2014. But observers agree that the policy was dead no later than early 2014, when Russia intervened in Ukraine, and was already in question for two years before that.
Nunes’ statement is misleadingly oversimplified, so we rate it Half True.
sub-questions:","1. Is is true the Obama administration, despite evidence, was committed to resetting relations with Putin at any point in time?
2. Was Nunes correct to say "" In recent years ... the Obama administration was committed to the notion , against all evidence , that we could reset relations with Putin . ""
3. Did Obama cease to commit resetting relations with Putin at any time?
4. Did Obama try to reset relations with Putin at any point?
5. Did Obama try to reset relations with Putin for the entirety of his presidency?
6. Did Obama try to reset relations with Putin after evidence against the notion?"
"Says the U.S. Constitution ""doesn’t say anything about (redistricting) being fair. … it’s set up to be partisan.""Tillman said the Constitution ""doesn’t say anything about being fair,"" and later added: ""it’s set up to be partisan.""
On fairness, the Constitution aims to guarantee equal weight to each voter. But it doesn’t guarantee that the nation’s political parties will have the same odds of winning a Congressional seat.
On the set-up of the redistricting process, Tillman is right that North Carolina’s system yields itself to partisan maps. But he’s wrong to suggest that the U.S. Constitution encourages that system across the country. States have the freedom to enact their own redistricting rules, and some have attempted to tackle ""fairness"" from a lot more angles than North Carolina.
These claims are partially accurate but omit important details that would give the public a better understanding of the redistricting system. We rate them Half True.
sub-questions:","1. Is there anything in the U.S. constitution about redistricting in general?
2. Is Tillman correct to say redistricting is set up to be partisan in any setting?
3. Is there anything in the Constitution to establish fairness?
4. Does the U.S. constitution encourage redistricting to be partisan? 
5. Do any U.S. states allow redistricting to be partisan? 
6. Do U.S. states have the right to implement their own redistricting rules?
7. Is the U.S. constitution require redistricting to be fair?"
"Says Bill Murray said “Social media is training us to compare our lives ... No wonder why everyone is depressed.”A Facebook post says that Bill Murray said, ""Social media is training us to compare our lives, instead of appreciating everything we are. No wonder why everyone is depressed.""
While Murray has criticized the way people use social media, there is no evidence he said the words attributed to him in the Facebook post or other similar social media posts.
We rate this claim False.
sub-questions:","1. Is there evidence that Bill Murray said this?
2. Has Bill Murray criticized social media in any way?
3. Did Murray explicitly say “ Social media is training us to compare our lives ... No wonder why everyone is depressed?”
4. Has Murray ever commented on people’e use of social media?
5. Is there proof Murray said “ Social media is training us to compare our lives ... No wonder why everyone is depressed ?”"
"""Trump just gave a $12 billion bailout to farmers hurt by his failed tariffs. This will cost every household in the U.S. $95 … Trump is borrowing the money from China since his tax cuts blew a trillion dollar hole in the deficit.""A recent Facebook post calls Trump’s recent announcement of an emergency aid package to farmers a ""bailout."" It also claims that the package will cost each household $95, and Trump borrowed money to finance it from China because his tax cuts left a trillion dollar hole in the deficit.
The USDA did recently announce a $12 billion aid package for farmers, but some would consider the labeling of it as a ""bailout"" to be misleading since farmers were not responsible for the tariffs and other factors that led to the aid package being necessary.
It’s also not fair to declare that the package would cost each household $95, since different households pay taxes at different rates.
In addition, the government isn’t directly borrowing the money to finance the aid package from China. They’re borrowing the money from the U.S. Treasury. China buys and owns Treasury securities, but those securities have a very remote connection to the aid package.
Lastly, the federal deficit hasn’t been over $1 trillion since 2012. The CBO doesn’t project it to be over $1 trillion until 2020.
We rate the claims in the post Mostly False.
sub-questions:","1. Was Trump’s deficit $1 trillion
2. Was the amount extended to farmers actually $12billion 
3. Is it correct to refer to the $12 billion as a bailout
4. Did Trumps tax cuts, resulting in a deficit, directly lead to him borrowing money from China?
5. Did Trump directly borrow the $12 billion bailout from China?
6. Did the bailout cost every US household $95/Is it possible to determine how much the bailout cost every US household?
7. Did Trump give $12 billion to farmers hurt by failed tariffs?
8. Was the money given to farmers intended as a bailout?
9. Is Trump directly borrowing from China to finance the payment to farmers?
10. Is there a trillion dollar hole in the deficit?
11. Will every U.S. household have to pay $95 for this aid package?"
"Says Tammy Baldwin ""supported legislation allowing citizens to withhold funding for our troops.""Restoration PAC says Baldwin ""supported legislation allowing citizens to withhold funding for our troops.""
Baldwin on four occasions, most recently in 2009, cosponsored a bill that would have allowed conscientious objectors to direct the federal government not to use their income taxes and other tax payments for any military purpose.
But the bill would not have restricted Congress’ ability to allocate money to the military; even the organization pushing the legislation acknowledges it would not reduce military funding; and experts agree it is a symbolic measure that would not result in funding being withheld from troops.
For a statement that contains an element of truth but leaves out important details, our rating is Mostly False.
sub-questions:","1. Is is true Baldwin supported legislation allowing citizens to withhold troop funds?
2. Did Baldwin voting for legislation actually allow citizens to withhold troops funds?
3. Was there legislation voted on to allow citizens to withhold funding for our troops?
4. Does Baldwin support voluntary funding of the military from personal tax payments?
5. Would the legislation Baldwin supports reduce funding for the military?
6. Would this legislation restrict Congress' ability to fund the military?"
"Says California Republican Young Kim is ""a tax cheat"" who ""illegally claimed a $7,000 annual homestead exemption on a house she wasn’t living in,"" had ""multiple tax liens placed on her"" as a result and ""owes over $10,000 in unpaid federal income taxes.""The Cisneros campaign says Kim is ""a tax cheat"" who ""illegally claimed a $7,000 annual homestead exemption on a house she wasn’t living in,"" had ""multiple tax liens placed on her"" as a result and ""owes over $10,000 in unpaid federal income taxes.""
The IRS debt is more substantial than the property tax, but there is no information to show it has anything to do with cheating. ""Cheat"" implies motivation, and news stories have used the word to describe people who purposely violated homestead exemption laws to save on taxes -- typically saving much more than $74 a year. Nic Jordan, the Cisneros campaign spokesman, told us the campaign used the word colloquially.
Whether a mistake or not, Kim had two liens and owed $387 to the county as a result of an improperly recorded homeowner’s exemption. The law is the law, as Kim’s last opponent said. But it was a minor civil matter, and one that the current property assessor says never should have resulted in liens. Cisneros focused on the $7,000 annual reduction in the house’s assessment, not mentioning on the spoof website that it made a difference of $74 a year. This makes it sound far worse than it was.
With these elements combined, we rate the claim Mostly False.
sub-questions:","1. Did Kim have an illegally recorded homeowner's exemption?
2. Did Kim purposely cheat on her taxes through an illegally recorded homeowner's exemption?
3. Did Kim have any tax liens against her?
4. Is Kim claiming $7,000 dollars each year from a homestead exemption?
5. Did Young Kim actually claim a $7000 annual homestead exemption on a house she wasn’t living in?
6. Did Young Kim illegally claim a $7000 homestead exemption?
7. Does Kim has multiple tax liens placed on her?
8. Does Kim own unpaid federal income tax?"
"""Thirty years ago, the United States ranked sixth among advanced economies in the share of women in the workforce. You know where we are today? Twenty-three.”Biden said, ""Thirty years ago, the United States ranked sixth among advanced economies in the share of women in the workforce. You know where we are today? Twenty-three.""
The specific rankings vary a bit depending on what measure one uses, though by one measurement, the U.S. position is even worse than Biden said.
The general conclusion is the same: The United States used to rank near the top of the pack of industrialized countries in women’s participation in the labor force, but over the past 30 years, many other countries have leapfrogged the U.S. in that measurement, as the rate in the U.S. stagnated or even fell.
Economists say the U.S. rate has been lagging for several reasons, including a lack of government policies encouraging child care and paid leave and other countries catching up to the United States’ earlier gains in women’s educational attainment.
We rate the statement Mostly True.
sub-questions:","1. Does the United States currently rank twenty - third in this category?
2. Has the United States seen a decrease in their ranking in this category from 30 years ago?
3. Has the United States seen a decrease in their ranking in this category because of their government policies?
4. Was Joe Biden accurate in saying "" Thirty years ago , the United States ranked sixth among advanced economies in the share of women in the workforce . You know where we are today ? Twenty - three . ”?
5. Is the statement that the US was ranking as a top ranked advanced economy 30 years ago true?
6. Is the US ranked lower today than it was 30 years ago?"
"Says because of Donald Trump, ""the IRS decided to stop enforcing the individual mandate that was the underpinning of the ACA. That has resulted in insurance companies all across the country jacking their rates up, explicitly because they don't believe that healthy people will buy insurance.""Murphy said that insurance companies are jacking up their rates because of the IRS’ weakened enforcement of the individual mandate under Trump.
That’s an exaggeration. The Trump administration has continued the same policies as Obama. A mandate to buy insurance is in place, but there’s not much punishment for those who refused to comply.
Murphy suggested that the individual mandate itself was key in keeping insurance rates low. In theory, the requirement invites greater diversity to the health insurance risk pool, but the IRS never had sufficient tools at its disposal to enforce it effectively.
Blaming rate increases on the IRS is too simplistic, particularly as there is no evidence of a direct link. A number of other factors are at play, including uncertainty around future health care subsidies.
Because there has been little outward change in the IRS enforcement policies, we rate this statement Mostly False.
sub-questions:","1. Was Trump directly/solely responsible for the IRS stopping the enforcement of the individual ACA mandate?
2. Have insurance companies increased prices because the IRS stopped enforcing the individual mandate?
3. Can another reason be attributed to why insurance companies increased prices
4. Has the IRS changed their enforcement policy for the individual mandate?
5. Has Trump changed the individual mandate from Obama's presidency?
6. Are rates for health insurance companies going up solely because of the IRS?
7. Was the intent of the individual mandate to keep insurance rates low?"
"“FDA approval means nothing when you realize the FDA also approves pesticides in our food!""A Facebook post claimed that ""FDA approval means nothing when you realize the FDA also approves pesticides in our food!""
The FDA does not approve pesticides in food. The EPA sets limits for safe levels of pesticide residue on food, and the FDA monitors the food supply to enforce the limits.
The FDA’s approval process for vaccines begins with three phases of clinical trials to establish their safety and efficacy, and a review of data from clinical and non-clinical trials along with other supporting documentation.
We rate this claim Mostly False.
sub-questions:","1. Does the FDA approve pesticides in our food?
2. Does another federal agency approve pesticides in our food?
3. Are vaccines safely tested by the FDA before becoming available to the public?
4. Does the FDA approve pesticides in our food at all?
5. Are there pesticides always on our food?
6. Is there proof behind FDA approvals, regardless of other FDA issues/perceptions?"
"""The bottom line is clear: Under the policies of this unified Republican government, American workers, families, and business owners are achieving economic growth that is unmatched in recent memory. … More than 1 million new jobs have been created just since we passed tax reform last December.""McConnell said, ""The bottom line is clear: Under the policies of this unified Republican government, American workers, families, and business owners are achieving economic growth that is unmatched in recent memory. ... More than 1 million new jobs have been created just since we passed tax reform last December.""
Officially, it’s 1,037,000 new jobs — and it’s likely that the tax cut had some positive impact.
However, it’s questionable to suggest that job growth in the past five months has been especially strong, or that recent rates of job-creation represent some kind of turnaround from a poor performance earlier. Job growth in the past five months is in line with the gains seen in previous five-month periods and in previous January-to-May periods going back nine years.
We rate the statement Half True.
Correction: The original version of this fact-check misstated the last year the national unemployment rate was 3.8 percent. It was 2000.
sub-questions:","1. Have more than 1 million new jobs been created since last December?
2. Have more than 1 million new jobs been created exclusively because of the tax reform?
3. Was this increase in new jobs impacted at all by the tax reform?
4. Have increases in jobs over this time period been seen in past years?
5. Were 1 million jobs actually created since the passage of tax reform in December?
6. Are the policies of the unified Republican government responsible for unmatched economic growth in recent memory?
7. Is unmatched economic growth in recent memory actually occurring?"
"""30,000 scientists have come forward confirming that man-made climate change is a hoax perpetuated by the elite in order to make money.""An article on the News Punch website said that ""30,000 scientists have come forward confirming that man-made climate change is a hoax perpetuated by the elite in order to make money."" The source is a well-known petition project.
The key flaw is that the petition challenges the science, but it doesn’t cast human-driven climate change as a hoax aimed at making some people rich. That is pure interpretation by the website.
The use of the word ""scientists"" is misleading, since a signatory need not be a scientist today and need not have done more than earned a bachelor of science degree in any field. The actual number of climate-related specialists is about 12 percent of the total. And these are not currently confirmed signatories as the list has been circulating since 1998.
For all these reasons, we rate this claim Pants on Fire.
sub-questions:","1. Does this group of scientists challenge the science of climate change?
2. Is everyone in this group an accredited scientist?
3. Does this group of scientists think climate change is a hoax aimed to make the elite more money?
4. Did a group of scientists at any time come forward confirming man made climate change is a hoax?
5. For any scientists that have come forward saying man made climate change is a hoax, are most actually scientists?
6. Are there as much as 30,000 scientists with the education to make legitamate claims about man mad climate change being a hoax"
"District attorneys ""have advertised that they will charge a criminal alien with a lesser offense than presumably they would charge a United States citizen, so they won’t be deported.""Sessions said district attorneys ""advertise that they will charge a criminal alien with a lesser offense than presumably they would charge a United States citizen.""
District and state attorneys in Brooklyn, Santa Clara and Baltimore have issued directives for prosecutorial discretion in the handling of non-violent cases involving non-U.S. citizens (which includes immigrants living in the United States legally and illegally).
Attorneys told us that the alternative sentences are designed to help people avoid deportation for minor crimes, and that sometimes the plea deals mean the person ends up with a stricter or longer sentence, or a faster guilty plea. They also contend that they are not charging immigrants favorably over citizens, as policy consideration goes into effect after charges are made.
The Supreme Court recently recognized that deportations can represent a disproportionate punishment. A recent case found that defense attorneys must inform their clients when a plea carries a risk of deportation. Justices also noted that considering deportation consequences in the plea bargaining process may benefit both defendants and states.
Sessions’ statement is partially accurate, but leaves out important details or takes things out of context. We rate it Half True.
sub-questions:","1. Did Jeff Sessions explicitly say that District attorneys "" have advertised that they will charge a criminal alien with a lesser offense than presumably they would charge a United States citizen , so they wo n’t be deported . ""
2. Have district attorneys actually advertised that  they will charge a criminal alien with a lesser offense than presumably they would charge a United States citizen , so they wo n’t be deported . ""
3. Is there a difference in how undocumented criminals and citizens criminals are being charged?
4. Are district attorneys charging undocumented criminals favorably over U.S. citizens?
5. Has sentencing been made different for undocumented criminals favorably over U.S. citizens?
6. Are undocumented people accused of crimes informed if they are at risk of being deported?
7. Does this altered sentencing result in some undocumented people avoiding deportation?"
"Under Hillary Clinton’s plan ""illegal immigrants convicted of committing crimes get to stay.""Trump says ""In Hillary Clinton’s America ... illegal immigrants convicted of committing crimes get to stay.""
The tone of the ad is to scare voters into thinking that Clinton would welcome convicted criminals to remain in the country illegally, and that’s an exaggeration.
Clinton has said that she will deport ""violent criminals"" as well as anyone who threatens our safety. She hasn’t been more specific about the types of crimes that would or would not lead to deportation.
We rate this claim Half True.
sub-questions:","1. Does Clinton’s plan actually have determined rules for what happens to undocumented immigrants convicted of crimes/if they are allowed to stay?
2. Did Clinton’s plan actually allow for undocumented immigrants convicted of crimes to stay?
3. Did Trump accurately describe Clinton’s plan?
4. Are illegal immigrants convicted of any crime deported outside the country?
5. Are any particular crimes considered grounds for the deportation of illegal immigrants?"
"Says Ayn Rand said, ""The question isn’t who is going to let me; it’s who is going to stop me.""The Facebook post says Ayn Rand said: ""The question isn’t who is going to let me; it’s who is going to stop me."" She didn’t say this, though the quote paraphrases a character in one of her novels. But without the book’s context, the statement could mislead readers about Rand’s worldview.
We rate this post Mostly False.
sub-questions:","1. Did Ayn Rand say this quote?
2. Is this quote related at all to Rand's work?
3. Does this quote reflect Rand's worldview?
4. Did Ayn Rand actually say this explicit statement?
5. Is there proof Ayn Rand ever said “The question is n’t who is going to let me ; it ’s who is going to stop me . ""
6. Does the statement “The question is n’t who is going to let me ; it ’s who is going to stop me . "" have any relation to Ayn Rand?"
"Says the U.S. fleet of attack submarines is scheduled to fall below the 48 boats that Navy says it needs to carry out current missions.Forbes wrote that the nation’s fleet of attack submarines is scheduled, in less than a decade, to fall below the 48 boats the Navy says it needs to carry out current missions.
The congressman accurately cited the best information that was available when his column was published on April 9. Since then, the Navy has issued new projections that say the fleet won’t fall below 48 SSNs until 2025.
We don’t fault Forbes for not knowing information that wasn’t available at the time. We rate his statement True.
sub-questions:","1. Did the Navy ever say it needed more submarines?
2. Have the Navy's submarine needs changed since then?
3. Does the Navy need a minimum of 48 submarines to carry out missions?
4. Did Forbes provide correct data about the fleet of submarines falling bellow 48?
5. Did the Nacy say it needed 48 boats to carry out current missions?
6. Is there the possibility of the US fleet of submarines fallowing below 48 boats"
"""Al-Qaida operatives, have said, 'Hey, we want you to use this loophole (for purchasing guns despite being on a watch list) to attack and kill Americans.'""Booker said, ""Al-Qaida operatives, have said, 'Hey, we want you to use this loophole (for purchasing guns despite being on a watch list) to attack and kill Americans.""
We've seen a 2011 video from one operative, an Al-Qaida spokesman born and raised in America, who did indeed urge Muslims to use the gun show loophole to purchase weapons and attack Americans. While an expert said its reasonable that other pieces of propaganda exist, we don't know of any.
With that caveat, we rate the claim as Mostly True.
https://www.sharethefacts.co/share/475e31b4-c182-4fd0-9834-ea5d0efad56f
sub-questions:","1. Have been Al - Qaida operatives systematically urging people to use gun loopholes to attack Americans?
2. Have any Al - Qaida operatives urged people to use gun loopholes to attack Americans?
3. Can those on a watch list legally purchase firearms at a gun show?
4. Did Al-Qaeda operatives at any time generally say “we want you to use this loophole ( for purchasing guns despite being on a watch list ) to attack and kill Americans . ' ""
5. Is there proof Al-Qaeda operatives said “we want you to use this loophole ( for purchasing guns despite being on a watch list ) to attack and kill Americans . ' """
