WorkerId,Input.id,Input.who,Input.when_where,Input.claim,Input.evidence,Input.label,Answer.user-output
A248M9BK62RL5L,11,Hillary Clinton,"stated on February 4, 2016 in a debate:","""We bailed out"" Johnson Controls when ""we saved the auto industry"" and ""now they want to avoid paying taxes.""","Clinton said ""we bailed out"" Johnson Controls when ""we saved the auto industry"" and ""now they want to avoid paying taxes.""
Johnson Controls was not a direct recipient of the 2008-’09 federal bailouts of the auto industry, but it did push for the funds and, as an auto parts supplier, benefited indirectly.
On federal taxes, the company has said it will save $150 million per year by moving its headquarters from suburban Milwaukee to Ireland.
For a statement that is accurate but needs clarification, our rating is Mostly True.",mostly-true,"[{""question"":""Did we directly bail out Johnson Controls when we saved the auto industry?"",""answer"":""No"",""evidence"":""Johnson Controls was not a direct recipient of the 2008-’09 federal bailouts of the auto industry"",""from-where"":""Reasoning""},{""question"":""Did Johnson Controls benefit in any aspect from federal bailouts?"",""answer"":""Yes"",""evidence"":""Johnson Controls was not a direct recipient of the 2008-’09 federal bailouts of the auto industry, but it did push for the funds and, as an auto parts supplier, benefited indirectly."",""from-where"":""Reasoning""},{""question"":""Does Johnson Controls want to avoid paying taxes?"",""answer"":""Yes"",""evidence"":""On federal taxes, the company has said it will save $150 million per year by moving its headquarters from suburban Milwaukee to Ireland."",""from-where"":""Reasoning""},{""question"":""Did Johnson want to avoid paying taxes because of being bailed out?"",""answer"":""N/A"",""evidence"":"" We bailed out \"" Johnson Controls when \"" we saved the auto industry \"" and \"" now they want to avoid paying taxes . \"""",""from-where"":""Claim""}]"
A248M9BK62RL5L,16,ClearPath Action Fund,"stated on September 28, 2016 in a campaign ad:","Says ""Rob Portman voted for the bipartisan bill to affirm climate change is real, humans significantly contribute to it and it needs to be addressed.""","An ad by ClearPath Action said, ""Rob Portman voted for the bipartisan bill to affirm climate change is real, humans significantly contribute to it and it needs to be addressed.""
While Portman did vote for a bipartisan bill recognizing climate change as a threat in need of action, that bill did not include the word ""significantly."" Portman has voted against other amendments when they include the word ""significantly,"" and has voted for amendments that do not quantify how much human activity affects climate change.
ClearPath Action has since discontinued the ad, admitted the mistake and pledged to release a corrected version.
We rate the original version of the ad Mostly False.
https://www.sharethefacts.co/share/67974c57-e2bb-4327-a497-e2db21a126f0",barely-true,"[{""question"":""Did Rob Portman vote for the bipartisan bill to affirm climate change is real?"",""answer"":""Yes"",""evidence"":""While Portman did vote for a bipartisan bill recognizing climate change as a threat in need of action,"",""from-where"":""Reasoning""},{""question"":""Was there a bipartisan bill to affirm climate change is real , humans significantly contribute to it and it needs to be addressed . \"""",""answer"":""No"",""evidence"":""While Portman did vote for a bipartisan bill recognizing climate change as a threat in need of action, that bill did not include the word \""significantly.\"""",""from-where"":""Reasoning""},{""question"":""Did Portman vote for any bipartisan bill to affirm climate change is real , humans significantly contribute to it and it needs to be addressed . \"""",""answer"":""No"",""evidence"":""While Portman did vote for a bipartisan bill recognizing climate change as a threat in need of action, that bill did not include the word \""significantly.\"""",""from-where"":""Reasoning""}]"
A394Q9REPEHG3X,16,ClearPath Action Fund,"stated on September 28, 2016 in a campaign ad:","Says ""Rob Portman voted for the bipartisan bill to affirm climate change is real, humans significantly contribute to it and it needs to be addressed.""","An ad by ClearPath Action said, ""Rob Portman voted for the bipartisan bill to affirm climate change is real, humans significantly contribute to it and it needs to be addressed.""
While Portman did vote for a bipartisan bill recognizing climate change as a threat in need of action, that bill did not include the word ""significantly."" Portman has voted against other amendments when they include the word ""significantly,"" and has voted for amendments that do not quantify how much human activity affects climate change.
ClearPath Action has since discontinued the ad, admitted the mistake and pledged to release a corrected version.
We rate the original version of the ad Mostly False.
https://www.sharethefacts.co/share/67974c57-e2bb-4327-a497-e2db21a126f0",barely-true,"[{""question"":""Did Portman vote for a bipartisan bill to affirm that climate change is real and needs action?"",""answer"":""yes"",""evidence"":""While Portman did vote for a bipartisan bill recognizing climate change as a threat in need of action, "",""from-where"":""reasoning""},{""question"":""Does the language of the bill include that humans significantly contribute to climate change?"",""answer"":""no"",""evidence"":""that bill did not include the word \""significantly.\"""",""from-where"":""reasoning""},{""question"":""Does Portman support the idea that humans significantly contribute to climate change?"",""answer"":""no"",""evidence"":""Portman has voted against other amendments when they include the word \""significantly,\"" and has voted for amendments that do not quantify how much human activity affects climate change."",""from-where"":""reasoning""}]"
A394Q9REPEHG3X,19,Eric Greitens,"stated on February 8, 2017 in a television interview:","""Over the past 25 years, job growth in right-to-work states has been twice as high as in non-right-to-work states. ... The facts are just so clear that this is going to lead to more jobs and higher pay for the people of Missouri.""","Greitens said: ""Over the past 25 years, job growth in right to work states has been twice as high as in non-right to work states. ... The facts are just so clear that this is going to lead to more jobs and higher pay for the people of Missouri.""
His information comes from a conservative think tank that had accurate numbers from the Bureau of Labor Statistics but used them in a way that experts say is unreliable for measuring the effect of a state law on its economy.
Greitens used correct numbers but excluded important contextual information that might give someone a different impression of the figures. We rate this claim Half True.
Correction:This story was corrected on April 6, 2017, to accurately describe the methodology used in the Illinois Policy Institute’s analysis of job growth in right-to-work and non-right-to-work states. Job growth numbers for states were aggregated, not averaged.",half-true,"[{""question"":""Is job growth in right - to - work states twice that of states without this policy?"",""answer"":""yes"",""evidence"":""Greitens used correct numbers "",""from-where"":""reasoning""},{""question"":""Will the right - to - work policy surely lead to more jobs and higher pay?"",""answer"":""no"",""evidence"":""but used them in a way that experts say is unreliable for measuring the effect of a state law on its economy...Greitens used correct numbers but excluded important contextual information that might give someone a different impression of the figures. "",""from-where"":""reasoning""},{""question"":""Does Greitens' statistics come from a reliable source of information?"",""answer"":""yes"",""evidence"":""His information comes from a conservative think tank that had accurate numbers from the Bureau of Labor Statistics"",""from-where"":""reasoning""}]"
A248M9BK62RL5L,19,Eric Greitens,"stated on February 8, 2017 in a television interview:","""Over the past 25 years, job growth in right-to-work states has been twice as high as in non-right-to-work states. ... The facts are just so clear that this is going to lead to more jobs and higher pay for the people of Missouri.""","Greitens said: ""Over the past 25 years, job growth in right to work states has been twice as high as in non-right to work states. ... The facts are just so clear that this is going to lead to more jobs and higher pay for the people of Missouri.""
His information comes from a conservative think tank that had accurate numbers from the Bureau of Labor Statistics but used them in a way that experts say is unreliable for measuring the effect of a state law on its economy.
Greitens used correct numbers but excluded important contextual information that might give someone a different impression of the figures. We rate this claim Half True.
Correction:This story was corrected on April 6, 2017, to accurately describe the methodology used in the Illinois Policy Institute’s analysis of job growth in right-to-work and non-right-to-work states. Job growth numbers for states were aggregated, not averaged.",half-true,"[{""question"":""Will job growth in right to work states lead to more jobs/higher wages for Missourians?\n"",""answer"":""N/A"",""evidence"":""- The facts are just so clear that this is going to lead to more jobs and higher pay for the people of Missouri . \""\n- His information comes from a conservative think tank that had accurate numbers from the Bureau of Labor Statistics but used them in a way that experts say is unreliable for measuring the effect of a state law on its economy.\n"",""from-where"":""Reasoning + Claim""},{""question"":""Has job growth in right to work status been twice as high than in non-right to work states in the past 25 years?"",""answer"":""Yes"",""evidence"":""His information comes from a conservative think tank that had accurate numbers from the Bureau of Labor Statistics\nGreitens used correct numbers"",""from-where"":""Reasoning""},{""question"":""Is there proof job growth in right to work states has been twice as high the was in non right to work states?"",""answer"":""Yes"",""evidence"":""His information comes from a conservative think tank that had accurate numbers from the Bureau of Labor Statistics\nGreitens used correct numbers"",""from-where"":""Reasoning""}]"
A394Q9REPEHG3X,20,Doug Jones,"stated on November 30, 2017 in a campaign ad:","""In a 2014 case involving a man convicted of abusing two underage girls, Judge Roy Moore disagreed and wrote the dissenting opinion.""","An ad from the Jones campaign said that Moore disagreed and dissented in a case involving the abuse of two underage girls. There is no question that Moore dissented, but the ad provides no context for what Moore disagreed with. The glaring lack of detail leaves reasonable viewers with the impression that Moore disagreed with the conviction.
That’s not what he said. He disagreed with the court’s decision not to consider a legal question of admissible evidence. Several independent law professors told us that Moore raised a valid point that was legally separate from the underlying conviction in the case.
The ad leaves out critical context that gives a highly misleading impression. We rate this claim Mostly False.",barely-true,"[{""question"":""Did Roy Moore dissent on a man's conviction of underage abuse?"",""answer"":""no"",""evidence"":""There is no question that Moore dissented, but the ad provides no context for what Moore disagreed with. The glaring lack of detail leaves reasonable viewers with the impression that Moore disagreed with the conviction."",""from-where"":""reasoning""},{""question"":""Did Roy dissent on another aspect of the court's decisions?"",""answer"":""yes"",""evidence"":""He disagreed with the court’s decision not to consider a legal question of admissible evidence. Several independent law professors told us that Moore raised a valid point that was legally separate from the underlying conviction in the case.\n\nHe disagreed with the court’s decision not to consider a legal question of admissible evidence. Several independent law professors told us that Moore raised a valid point that was legally separate from the underlying conviction in the case.\n\nHe disagreed with the court’s decision not to consider a legal question of admissible evidence. Several independent law professors told us that Moore raised a valid point that was legally separate from the underlying conviction in the case."",""from-where"":""reasoning""}]"
A248M9BK62RL5L,20,Doug Jones,"stated on November 30, 2017 in a campaign ad:","""In a 2014 case involving a man convicted of abusing two underage girls, Judge Roy Moore disagreed and wrote the dissenting opinion.""","An ad from the Jones campaign said that Moore disagreed and dissented in a case involving the abuse of two underage girls. There is no question that Moore dissented, but the ad provides no context for what Moore disagreed with. The glaring lack of detail leaves reasonable viewers with the impression that Moore disagreed with the conviction.
That’s not what he said. He disagreed with the court’s decision not to consider a legal question of admissible evidence. Several independent law professors told us that Moore raised a valid point that was legally separate from the underlying conviction in the case.
The ad leaves out critical context that gives a highly misleading impression. We rate this claim Mostly False.",barely-true,"[{""question"":""Did Judge Moore write a dissenting opinion?"",""answer"":""Yes"",""evidence"":""There is no question that Moore dissented"",""from-where"":""Reasoning""},{""question"":""Did Moore disagree with a man being convicting of abusing two underage girls?\n"",""answer"":""No"",""evidence"":""There is no question that Moore dissented, but the ad provides no context for what Moore disagreed with. The glaring lack of detail leaves reasonable viewers with the impression that Moore disagreed with the conviction.\n\nThat’s not what he said. He disagreed with the court’s decision not to consider a legal question of admissible evidence. Several independent law professors told us that Moore raised a valid point that was legally separate from the underlying conviction in the case."",""from-where"":""Reasoning""},{""question"":""Did Doug Jones correctly attribute the right reason as to why Moor wrote a dissenting opinion?"",""answer"":""No"",""evidence"":"". The glaring lack of detail leaves reasonable viewers with the impression that Moore disagreed with the conviction.\n\nThat’s not what he said. He disagreed with the court’s decision not to consider a legal question of admissible evidence. Several independent law professors told us that Moore raised a valid point that was legally separate from the underlying conviction in the case."",""from-where"":""Reasoning""}]"
A248M9BK62RL5L,28,Donald Trump Jr.,"stated on August 1, 2018 in an interview with One America News Network:","""You see the Nazi platform from the early 1930s ... look at it compared to the (Democratic Party) platform of today, you're saying, 'Man, those things are awfully similar.'""","Trump Jr. said, ""You see the Nazi platform from the early 1930s ... look at it compared to the (Democratic Party) platform of today, you're saying, 'Man, those things are awfully similar,' to a point where it's actually scary.""
Only a small number of elements of the two platforms are clearly similar, and those are so uncontroversial that they appear in the Republican platform as well. The vast majority of planks in the Nazi platform not only don’t appear in the Democratic platform, but are wholly antithetical to it. We rate this Pants on Fire.",pants-fire,"[{""question"":""Are there even any substantial/significant similarities between the 1930 Nazi platform and the Democratic Party platform of today?\n\n"",""answer"":""No"",""evidence"":""Only a small number of elements of the two platforms are clearly similar, and those are so uncontroversial that they appear in the Republican platform as well. The vast majority of planks in the Nazi platform not only don’t appear in the Democratic platform, but are wholly antithetical to it."",""from-where"":""Reasoning""},{""question"":""Are people actually finding and thinking there are similarities between the 1930 Nazi platform and the Democratic Party platform of today?\n"",""answer"":""N/A"",""evidence"":""\"" You see the Nazi platform from the early 1930s ... look at it compared to the ( Democratic Party ) platform of today , you 're saying , ' Man , those things are awfully similar . ' \"""",""from-where"":""Claim""},{""question"":""\nIs there any reason to believe there are similarities between the 1930 Nazi Platform and the current Democratic party?"",""answer"":""No"",""evidence"":""Only a small number of elements of the two platforms are clearly similar, and those are so uncontroversial that they appear in the Republican platform as well. The vast majority of planks in the Nazi platform not only don’t appear in the Democratic platform, but are wholly antithetical to it. We rate this Pants on Fire. "",""from-where"":""Reasoning""}]"
A394Q9REPEHG3X,28,Donald Trump Jr.,"stated on August 1, 2018 in an interview with One America News Network:","""You see the Nazi platform from the early 1930s ... look at it compared to the (Democratic Party) platform of today, you're saying, 'Man, those things are awfully similar.'""","Trump Jr. said, ""You see the Nazi platform from the early 1930s ... look at it compared to the (Democratic Party) platform of today, you're saying, 'Man, those things are awfully similar,' to a point where it's actually scary.""
Only a small number of elements of the two platforms are clearly similar, and those are so uncontroversial that they appear in the Republican platform as well. The vast majority of planks in the Nazi platform not only don’t appear in the Democratic platform, but are wholly antithetical to it. We rate this Pants on Fire.",pants-fire,"[{""question"":""Are the Nazi platform and the modern Democratic Party platform largely similar?"",""answer"":""no"",""evidence"":""Only a small number of elements of the two platforms are clearly similar, and those are so uncontroversial that they appear in the Republican platform as well. The vast majority of planks in the Nazi platform not only don’t appear in the Democratic platform, but are wholly antithetical to it. "",""from-where"":""reasoning""},{""question"":""Do any elements of the Nazi platform appear in any other political parties?"",""answer"":""yes"",""evidence"":""Only a small number of elements of the two platforms are clearly similar, and those are so uncontroversial that they appear in the Republican platform as well. "",""from-where"":""reasoning""}]"
A248M9BK62RL5L,32,Devin Nunes,"stated on March 20, 2017 in a House Intelligence Committee hearing:","""In recent years ... the Obama administration was committed to the notion, against all evidence, that we could reset relations with Putin.""","Nunes said, ""In recent years ... the Obama administration was committed to the notion, against all evidence, that we could reset relations with Putin.""
Nunes’ summary of U.S. policy toward Russia is at best incomplete. The Obama administration did pursue a reset policy, and kept it up arguably as late as 2014. But observers agree that the policy was dead no later than early 2014, when Russia intervened in Ukraine, and was already in question for two years before that.
Nunes’ statement is misleadingly oversimplified, so we rate it Half True.",half-true,"[{""question"":""Is is true the Obama administration, despite evidence, was committed to resetting relations with Putin at any point in time?\n"",""answer"":""Yes"",""evidence"":""The Obama administration did pursue a reset policy, and kept it up arguably as late as 2014. "",""from-where"":""Reasoning""},{""question"":""\nWas Nunes correct to say \"" In recent years ... the Obama administration was committed to the notion , against all evidence , that we could reset relations with Putin . \"""",""answer"":""No"",""evidence"":""But observers agree that the policy was dead no later than early 2014, when Russia intervened in Ukraine, and was already in question for two years before that.\n\nNunes’ statement is misleadingly oversimplified"",""from-where"":""Reasoning""},{""question"":""Did Obama cease to commit resetting relations with Putin at any time?"",""answer"":""Yes"",""evidence"":""But observers agree that the policy was dead no later than early 2014, when Russia intervened in Ukraine, and was already in question for two years before that.\n\nNunes’ statement is misleadingly oversimplified"",""from-where"":""Reasoning""}]"
